,Unnamed: 0,Period,State,Pesticide,Varroa,Otherpest,Diseases,Other Factors,Lost Colonies
132,132,4,31,1387.0,6897.0,1672.0,380.0,2755.0,2400.0
436,436,1,11,367.5,2698.5,1176.0,378.0,1092.0,2400.0
181,181,2,13,156.0,6110.0,4628.0,4862.0,1560.0,2400.0
469,469,2,11,693.0,1438.5,819.0,703.5,1039.5,2300.0
500,500,2,45,588.0,2688.0,28.0,588.0,756.0,2300.0
630,655,4,16,322.0,15180.0,8510.0,1610.0,2806.0,2300.0
503,503,3,3,5104.0,8671.0,2262.0,29.0,145.0,2300.0
607,632,3,35,2349.0,6510.5,1682.0,87.0,2842.0,2200.0
358,358,3,13,1677.0,7396.0,3096.0,1032.0,1720.0,2200.0
16,16,1,24,288.0,3132.0,180.0,216.0,828.0,2200.0
136,136,4,35,297.5,2485.0,507.5,70.0,1015.0,2200.0
525,525,3,29,1512.0,11880.0,3222.0,2052.0,2052.0,2200.0
282,282,4,45,1404.0,8694.0,432.0,837.0,297.0,2200.0
130,130,4,29,88.0,2112.0,748.0,110.0,1188.0,2200.0
517,517,3,19,1010.0,7590.0,1120.0,1070.0,110.0,2200.0
581,606,3,3,10605.0,11172.0,4137.0,1428.0,1449.0,2100.0
271,271,4,31,819.0,8190.0,3529.5,156.0,2184.0,2100.0
7,7,1,12,28.5,1966.5,28.5,19.0,2118.5,2100.0
482,482,2,25,1932.0,2300.0,644.0,644.0,4140.0,2100.0
457,457,1,41,273.0,1820.0,791.0,21.0,539.0,2100.0
58,58,2,31,2261.0,3002.0,779.0,570.0,2128.0,2100.0
296,296,1,18,90.0,1017.0,297.0,90.0,1071.0,2100.0
438,438,1,13,264.0,2332.0,484.0,132.0,264.0,2100.0
422,422,4,39,2668.0,7047.0,2581.0,3190.0,2726.0,2000.0
15,15,1,23,546.0,1703.0,780.0,286.0,1534.0,2000.0
552,552,4,15,476.0,1162.0,469.0,21.0,385.0,2000.0
100,100,3,35,1764.0,7008.0,3720.0,2196.0,468.0,2000.0
557,557,4,22,125.0,9250.0,2500.0,275.0,750.0,2000.0
