,Accuracy,Ask_List
726,99.1,537
727,99.07,288
728,99.02,516
729,99.12,242
730,99.17,436
731,99.13,258
732,99.16,250
733,99.04,447
734,99.12,558
735,99.17,418
736,99.1,285
737,99.05,293
738,99.11,268
739,99.12,547
740,99.02,415
741,99.08,525
742,99.18,297
743,99.06,465
744,99.09,520
745,99.22,507
746,99.16,487
747,99.03,263
748,99.11,460
749,99.14,553
750,99.15,397
751,99.1,481
752,99.18,504
753,99.14,502
754,99.16,503
755,99.13,525
756,99.15,432
757,99.01,572
758,99.1,364
759,99.07,487
760,99.03,536
761,99.07,474
762,99.13,525
763,99.11,384
764,99.12,282
765,99.1,530
766,99.08,305
767,99.16,505
768,99.14,509
769,99.15,480
770,99.15,464
771,99.14,299
772,99.11,567
773,99.11,187
774,99.13,213
775,99.03,472
776,99.07,276
777,99.07,270
778,99.15,481
779,99.15,423
780,99.1,469
781,99.17,254
782,99.16,506
783,99.13,492
784,99.16,529
785,99.02,536
786,99.16,386
787,99.12,518
788,99.08,381
789,99.11,327
790,99.1,347
791,99.11,485
792,99.08,530
793,99.05,471
794,99.11,464
795,99.11,363
796,99.1,512
797,99.2,498
798,99.2,466
799,99.14,475
800,99.1,453
801,99.08,396
802,99.09,177
803,99.06,588
804,99.13,509
805,98.98,571
806,99.07,288
807,99.1,513
808,99.07,367
809,99.14,364
810,99.15,521
811,99.0,557
812,99.17,281
813,99.01,501
814,99.19,291
815,99.07,493
816,99.18,285
817,99.18,358
818,99.03,557
819,99.09,244
820,99.01,551
821,99.07,322
822,99.11,527
823,99.11,280
824,99.05,276
825,99.09,415
826,99.11,266
827,99.04,490
828,99.12,240
829,99.08,297
830,99.14,549
831,99.15,291
832,99.13,213
833,99.04,302
834,99.1,484
835,99.12,520
836,99.05,390
837,99.08,187
838,99.14,434
839,99.19,547
840,99.17,509
841,99.1,512
842,99.11,508
843,99.09,546
844,99.09,305
845,99.13,272
846,99.11,308
847,99.12,510
848,99.02,223
849,99.13,232
850,99.15,526
851,99.19,539
852,99.09,491
853,99.11,270
854,99.14,524
855,99.14,475
856,98.99,298
857,99.15,387
858,99.1,309
859,99.23,374
860,99.09,361
861,99.21,526
862,99.2,535
863,99.11,279
864,99.12,431
865,99.17,481
866,99.13,473
867,99.15,361
868,99.11,556
869,99.14,492
870,99.11,519
871,99.12,386
872,99.11,250
873,99.04,435
874,99.03,252
875,99.11,497
876,99.15,468
877,99.07,493
878,99.13,495
879,99.03,359
880,99.08,510
881,99.15,540
882,99.03,533
883,99.17,243
884,99.13,373
885,99.08,573
886,99.1,192
887,99.14,542
888,98.98,234
889,99.1,523
890,99.09,546
891,99.04,576
892,99.02,473
893,99.02,434
894,99.08,550
895,99.08,522
896,99.1,424
897,99.19,242
898,99.09,449
899,99.12,258
900,99.09,458
901,99.09,499
