2022-10-16 21:16:43.940029
Start Threshold: 0.02
Train Epoch: 1 [14400/60000 (24%)]	AE_Loss: 0.045850	CNN_Loss: 0.000000	Ask_rate: 0.028540	threshold: 18.599100	unq CNN/CNN: 0.150975
Train Epoch: 1 [14500/60000 (24%)]	AE_Loss: 0.034006	CNN_Loss: 0.000000	Ask_rate: 0.028343	threshold: 18.749100	unq CNN/CNN: 0.149778
Train Epoch: 1 [14600/60000 (24%)]	AE_Loss: 0.043302	CNN_Loss: 0.000000	Ask_rate: 0.028149	threshold: 18.899100	unq CNN/CNN: 0.148600
Train Epoch: 1 [14700/60000 (24%)]	AE_Loss: 0.031953	CNN_Loss: 0.000000	Ask_rate: 0.027957	threshold: 19.049100	unq CNN/CNN: 0.147440
Train Epoch: 1 [14800/60000 (25%)]	AE_Loss: 0.076385	CNN_Loss: 0.000000	Ask_rate: 0.027768	threshold: 19.199100	unq CNN/CNN: 0.146298
Train Epoch: 1 [14900/60000 (25%)]	AE_Loss: 0.019081	CNN_Loss: 0.000000	Ask_rate: 0.027582	threshold: 19.349100	unq CNN/CNN: 0.145174
Train Epoch: 1 [15000/60000 (25%)]	AE_Loss: 0.052872	CNN_Loss: 0.000000	Ask_rate: 0.027398	threshold: 19.499100	unq CNN/CNN: 0.144067
Train Epoch: 1 [15100/60000 (25%)]	AE_Loss: 0.050461	CNN_Loss: 0.000000	Ask_rate: 0.027217	threshold: 19.649100	unq CNN/CNN: 0.142976
Train Epoch: 1 [15200/60000 (25%)]	AE_Loss: 0.030210	CNN_Loss: 0.000000	Ask_rate: 0.027038	threshold: 19.799100	unq CNN/CNN: 0.141902
Train Epoch: 1 [15300/60000 (26%)]	AE_Loss: 0.016225	CNN_Loss: 0.000000	Ask_rate: 0.026861	threshold: 19.949100	unq CNN/CNN: 0.140844
Train Epoch: 1 [15400/60000 (26%)]	AE_Loss: 0.030139	CNN_Loss: 0.000000	Ask_rate: 0.026687	threshold: 20.099100	unq CNN/CNN: 0.139802
Train Epoch: 1 [15500/60000 (26%)]	AE_Loss: 0.072293	CNN_Loss: 0.000000	Ask_rate: 0.026514	threshold: 20.249100	unq CNN/CNN: 0.138775
