,Ask_rate,Accuracy,
264,44.7171825,90.33,2.020028878
265,62.00640342,91.38,1.473718761
266,32.12379936,89.45,2.784539867
267,37.1398079,67.19,1.809110057
268,59.55176094,91.61,1.538325627
269,51.65421558,93.6,1.812049587
270,57.20384205,92.95,1.624890858
271,18.35645678,78.5,4.276424419
272,43.00960512,91.13,2.118829032
273,50.58697972,92.58,1.83011519
274,49.09284952,89.96,1.832446087
275,56.45677695,93.58,1.657551229
276,54.96264674,92.48,1.682597282
277,54.5357524,93.04,1.706036791
278,58.80469584,92.56,1.574023956
279,27.74813234,67.57,2.435118846
280,35.96584845,89.5,2.48847181
281,37.24653148,92.36,2.479693983
282,43.75667022,91.41,2.089052927
283,56.24332978,92.9,1.651751423
284,34.47171825,87.92,2.550496594
285,29.98932764,89.78,2.993731673
286,56.56350053,92.97,1.643639434
287,58.59124867,92.21,1.573784517
288,48.98612593,92.22,1.882573856
289,52.18783351,93.42,1.790072393
290,53.68196371,92.76,1.727954672
291,34.36499466,87.34,2.541539752
292,55.70971185,91.75,1.646930077
293,56.13660619,92.17,1.641887643
294,33.08431163,92.69,2.80163
295,43.54322305,88.3,2.027870098
296,50.16008538,93.37,1.861440213
297,28.38847385,88.73,3.125564286
298,49.09284952,91.77,1.869315
299,20.38420491,88.07,4.320502094
300,31.91035219,91.11,2.855186288
301,35.96584845,91.07,2.532124332
302,58.69797225,93.65,1.595455455
303,52.50800427,93.76,1.78563252
304,53.0416222,93.48,1.762389537
305,55.2828175,91.38,1.652954826
306,34.36499466,91.29,2.656482298
307,52.61472785,92.39,1.755972211
308,51.86766275,90.96,1.753693827
309,58.16435432,91.69,1.576395046
310,55.38954109,90.85,1.640201349
311,60.83244397,93.24,1.532734737
312,56.56350053,93.25,1.648589623
313,54.85592316,92.95,1.694438716
314,55.06937033,92.81,1.685328876
315,50.26680896,93.37,1.85748811
316,30.20277481,82.35,2.726570671
317,59.1248666,92.71,1.568037365
318,52.2945571,91.57,1.751042653
319,56.88367129,93.07,1.636146154
320,27.00106724,88.02,3.259871146
321,24.226254,82.49,3.4049837
322,28.92209178,87.14,3.012921771
323,38.10032017,90.33,2.370846218
324,54.74919957,91.25,1.666691033
325,49.83991462,92.87,1.863365953
326,31.0565635,91.09,2.933035395
327,32.12379936,91.1,2.835903654
328,54.74919957,92.24,1.684773489
329,54.42902882,92.91,1.706993529
330,48.77267876,93.25,1.911931072
331,47.7054429,90.66,1.900412081
332,43.00960512,89.73,2.086278164
333,50.37353255,91.5,1.816430085
334,42.68943436,91.8,2.150415
335,56.0298826,94.04,1.678390095
336,49.09284952,92.38,1.881740435
337,50.05336179,92.81,1.854221109
338,57.84418356,91.1,1.574920664
339,43.9701174,88.28,2.007727184
340,28.49519744,78.98,2.771695131
341,56.77694771,92.03,1.620904323
342,59.44503735,92.74,1.560096589
343,54.64247599,92.07,1.68495293
344,58.91141942,92.45,1.569305254
345,54.21558164,91.85,1.694162402
346,58.27107791,93.72,1.608345055
347,50.58697972,93.42,1.846720253
348,49.09284952,90.56,1.844667826
349,24.226254,83.39,3.44213348
350,54.85592316,92.89,1.693344942
351,55.92315902,93.27,1.667824237
352,31.59018143,89.95,2.847403716
353,40.02134472,92.11,2.301521867
354,43.75667022,93.06,2.126761463
355,41.72892209,93.07,2.23034757
356,52.2945571,92.67,1.772077347
357,37.99359658,90.53,2.382769944
358,55.81643543,92.07,1.649514149
359,53.25506937,93.79,1.761146894
360,57.20384205,92.62,1.619122015
361,32.12379936,85.36,2.657219934
362,37.56670224,91.13,2.425818466
363,51.22732124,91.41,1.784399375
364,57.52401281,93.1,1.618454545
365,52.18783351,91.99,1.76267137
366,54.00213447,92.5,1.712895257
367,52.93489861,93.22,1.761031048
368,62.96691569,94.06,1.493800339
369,52.08110993,92.45,1.775115779
370,33.19103522,82.19,2.476271061
371,56.56350053,92.74,1.639573208
372,28.06830309,89.95,3.20468251
373,51.33404482,93.29,1.817312474
374,31.16328709,71.69,2.300463356
375,51.76093917,92.84,1.793630515
376,52.82817503,91.69,1.735626869
377,53.25506937,91.32,1.714766333
378,32.65741729,89.42,2.738122222
379,25.08004269,89.53,3.569770638
380,25.08004269,88.36,3.52312
381,41.40875133,91.52,2.210160825
382,54.32230523,93.17,1.715133399
383,33.2977588,89.76,2.695676923
384,57.31056564,92.7,1.617502793
385,27.10779082,90.72,3.34663937
386,60.83244397,91.47,1.503638421
387,27.53468517,87.87,3.191247674
388,54.5357524,91.98,1.6866
389,43.9701174,90.61,2.060717718
390,35.32550694,89.18,2.52452145
391,52.61472785,92.02,1.748939959
392,46.85165422,90.41,1.929707745
393,40.8751334,92.29,2.257851958
394,51.97438634,91.89,1.767986242
395,27.85485592,89.88,3.226726437
396,44.18356457,93.07,2.106439372
397,41.94236926,92.27,2.19992341
398,52.82817503,91.99,1.741305657
399,58.37780149,92.64,1.58690457
400,41.62219851,91.75,2.204352564
401,24.43970117,89.61,3.666575109
402,48.66595518,93.06,1.912219737
403,21.02454642,86.09,4.094737563
404,53.25506937,92.5,1.736923848
405,40.55496265,92.73,2.286526579
406,19.53041622,74.04,3.791009836
407,54.00213447,92.46,1.712154545
408,52.82817503,92.53,1.751527475
409,38.6339381,92.37,2.390903039
410,52.2945571,91.34,1.74664449
411,41.94236926,91.4,2.179180662
412,28.92209178,89.44,3.092445756
413,59.97865528,92.97,1.550051423
414,27.64140875,86.85,3.142025097
415,45.67769477,92.58,2.026809813
416,23.69263607,84.28,3.557223423
417,59.01814301,91.99,1.558673237
418,54.32230523,91.39,1.682366012
419,48.87940235,91.16,1.864998253
420,33.61792956,65.16,1.938251429
421,59.8719317,89.89,1.501371301
422,22.30522946,65.44,2.933841148
423,55.60298826,91.38,1.643436852
424,51.01387407,93.41,1.831070502
425,53.14834578,93.31,1.755652008
426,53.46851654,93.58,1.750188822
427,55.17609392,93.9,1.701823985
428,28.92209178,88.39,3.056141328
429,51.547492,93.22,1.8084294
430,34.68516542,86.01,2.479734462
431,37.99359658,90.09,2.371189045
432,52.2945571,91.56,1.750851429
433,51.97438634,91.71,1.764522998
434,51.76093917,93.32,1.802903918
435,55.06937033,91.69,1.664990891
436,51.76093917,90.48,1.748036289
437,48.98612593,92.38,1.885840087
438,40.76840982,90.52,2.220346597
439,57.09711846,92.58,1.62144785
440,55.17609392,90.54,1.640928046
441,52.61472785,91.61,1.741147465
442,56.24332978,92.37,1.642328083
443,31.8036286,85.72,2.695289933
444,54.00213447,93.99,1.740486759
445,57.52401281,92.43,1.606807236
446,56.24332978,92.98,1.653173814
447,41.51547492,91.64,2.207369666
448,59.76520811,93.72,1.568136429
449,60.40554963,91.66,1.517410247
450,61.79295624,92.97,1.504540415
451,54.74919957,92.87,1.696280507
452,29.77588047,87.7,2.945336918
453,55.06937033,92.21,1.674433527
454,53.68196371,91.92,1.712306958
455,56.45677695,92.48,1.638067297
456,60.83244397,92.45,1.519748246
457,39.70117396,91.53,2.305473387
458,57.31056564,91.94,1.604241713
459,54.96264674,91.98,1.673500194
460,56.0298826,92.51,1.651083238
461,57.31056564,93.46,1.630763873
462,59.44503735,92.87,1.562283483
463,56.99039488,92.46,1.622378652
464,46.31803629,92.68,2.000948387
465,37.99359658,90.31,2.376979494
466,27.85485592,88.3,3.170003831
467,55.38954109,92.99,1.678836802
468,60.19210245,92.41,1.535251241
469,52.50800427,93.05,1.772110772
470,57.84418356,93.54,1.617102952
471,27.00106724,87.07,3.224687352
472,38.84738527,91.16,2.346618681
473,22.7321238,47.99,2.11110939
474,55.06937033,91.75,1.666080426
475,23.90608324,87.22,3.64844375
476,59.97865528,92.88,1.54855089
477,56.56350053,92.63,1.637628491
478,50.48025614,91.63,1.815165116
479,42.68943436,91.16,2.135423
480,55.2828175,92.67,1.676289382
481,30.20277481,91.68,3.035482686
482,29.24226254,88.92,3.04080438
483,51.86766275,92.56,1.784541564
484,61.04589114,94.14,1.542118531
485,30.73639274,88.83,2.890059375
486,49.73319104,92.51,1.860125966
487,53.89541089,92.48,1.71591604
488,60.6189968,91.04,1.501839437
489,38.74066169,92.23,2.380702755
490,64.99466382,93.44,1.437656486
491,28.8153682,87.36,3.031715556
492,27.42796158,82.91,3.022827626
493,53.25506937,92.51,1.737111623
